iter	Passed	Remaining
168	434	2137
169	436	2133
170	439	2128
171	441	2123
172	443	2119
173	445	2114
174	447	2110
175	449	2105
176	451	2101
177	454	2097
178	456	2092
179	458	2088
180	460	2083
181	462	2080
182	465	2076
183	467	2072
184	469	2069
185	471	2064
186	473	2060
187	476	2056
188	478	2052
189	480	2047
190	482	2043
191	484	2039
192	486	2035
193	488	2031
194	491	2027
195	493	2022
196	495	2018
197	497	2014
198	499	2011
199	501	2007
200	503	2003
201	506	1999
202	508	1995
203	510	1992
204	512	1989
205	515	1987
206	518	1985
207	521	1984
208	526	1992
209	529	1991
210	531	1989
211	536	1992
212	538	1990
213	540	1986
214	543	1983
215	545	1980
216	547	1977
217	550	1973
218	552	1969
219	554	1966
220	556	1963
221	558	1959
222	561	1955
223	563	1951
224	565	1947
225	567	1945
226	570	1941
227	572	1938
228	574	1934
229	576	1930
230	578	1927
231	580	1923
232	583	1919
233	585	1916
234	587	1912
235	589	1908
236	591	1904
237	593	1900
238	595	1897
239	597	1893
240	600	1890
241	602	1886
242	604	1883
243	606	1880
244	608	1876
245	611	1873
246	613	1869
247	615	1866
248	617	1862
249	620	1860
250	622	1857
251	626	1859
252	629	1858
253	632	1857
254	634	1854
255	637	1851
256	639	1848
257	641	1844
258	643	1841
259	645	1838
260	647	1834
261	650	1831
262	652	1827
263	654	1824
264	656	1821
265	658	1818
266	660	1814
267	663	1810
268	665	1807
269	667	1804
270	669	1801
271	671	1797
272	673	1793
273	675	1790
274	677	1787
275	680	1784
276	682	1781
277	684	1777
278	686	1774
279	688	1771
280	691	1768
281	693	1765
282	695	1761
283	697	1758
284	699	1755
285	701	1751
286	703	1748
287	705	1744
288	707	1741
289	709	1738
290	712	1734
291	714	1731
292	716	1728
293	718	1725
294	720	1722
295	723	1719
296	725	1716
297	727	1713
298	729	1710
299	731	1706
300	733	1703
301	735	1700
302	738	1697
303	740	1694
304	742	1691
305	744	1688
306	746	1685
307	748	1681
308	750	1678
309	752	1675
310	754	1672
311	757	1669
312	759	1666
313	761	1664
314	763	1661
315	766	1658
316	768	1655
317	770	1652
318	772	1649
319	774	1646
320	776	1643
321	779	1640
322	781	1637
323	783	1634
324	785	1631
325	787	1628
326	789	1625
327	791	1622
328	794	1619
329	796	1617
330	798	1614
331	800	1611
332	802	1608
333	805	1605
334	807	1602
335	809	1599
336	811	1597
337	814	1594
338	816	1591
339	818	1588
340	820	1585
341	822	1582
342	824	1579
343	826	1576
344	828	1573
345	831	1570
346	833	1568
347	835	1565
348	837	1563
349	840	1560
350	842	1558
351	845	1555
352	847	1553
353	849	1550
354	851	1547
355	854	1545
356	856	1542
357	858	1539
358	860	1536
359	862	1533
360	864	1530
361	866	1528
362	869	1525
363	871	1522
364	873	1520
365	876	1517
366	878	1514
367	880	1511
368	882	1509
369	884	1506
370	886	1503
371	889	1501
372	891	1498
373	893	1495
374	895	1492
375	897	1489
376	900	1487
377	902	1485
378	904	1482
379	906	1479
380	908	1476
381	911	1473
382	913	1471
383	915	1469
384	917	1466
385	920	1463
386	922	1460
387	924	1457
388	926	1454
389	928	1452
390	930	1449
391	933	1447
392	935	1445
393	937	1442
394	939	1439
395	942	1437
396	944	1434
397	946	1431
398	948	1429
399	950	1426
400	953	1423
401	955	1421
402	957	1418
403	960	1416
404	962	1414
405	965	1413
406	968	1411
407	972	1411
408	975	1410
409	978	1408
410	981	1407
411	984	1405
412	987	1403
413	989	1400
414	991	1398
415	994	1395
416	996	1392
417	998	1390
418	1000	1387
419	1003	1385
420	1005	1383
421	1008	1381
422	1011	1379
423	1013	1377
424	1016	1374
425	1018	1372
426	1020	1369
427	1022	1366
428	1024	1363
429	1026	1361
430	1029	1358
431	1031	1356
432	1033	1353
433	1035	1350
434	1037	1348
435	1040	1345
436	1042	1342
437	1044	1340
438	1046	1337
439	1048	1334
440	1050	1332
441	1053	1329
442	1055	1326
443	1057	1324
444	1059	1321
445	1061	1318
446	1063	1315
447	1065	1313
448	1067	1310
449	1070	1307
450	1072	1305
451	1074	1302
452	1076	1299
453	1078	1297
454	1080	1294
455	1082	1291
456	1085	1289
457	1087	1286
458	1089	1284
459	1091	1281
460	1094	1279
461	1096	1276
462	1098	1274
463	1100	1271
464	1102	1268
465	1104	1266
466	1106	1263
467	1109	1260
468	1111	1258
469	1117	1259
470	1119	1257
471	1121	1254
472	1124	1252
473	1126	1250
474	1128	1247
475	1131	1245
476	1133	1242
477	1135	1239
478	1137	1237
479	1139	1234
480	1142	1232
481	1144	1229
482	1146	1227
483	1148	1224
484	1150	1222
485	1152	1219
486	1155	1216
487	1157	1214
488	1159	1211
489	1161	1209
490	1164	1206
491	1166	1204
492	1168	1201
493	1170	1199
494	1173	1196
495	1175	1194
496	1177	1192
497	1180	1189
498	1182	1187
499	1184	1184
500	1186	1181
501	1189	1179
502	1191	1177
503	1193	1174
504	1195	1172
505	1198	1169
506	1200	1167
507	1202	1164
508	1204	1162
509	1207	1160
510	1209	1157
511	1212	1155
512	1214	1152
513	1216	1150
514	1218	1147
515	1220	1145
516	1223	1142
517	1225	1140
518	1227	1137
519	1229	1135
520	1232	1132
521	1234	1130
522	1236	1128
523	1239	1125
524	1241	1123
525	1243	1120
526	1245	1118
527	1247	1115
528	1250	1113
529	1252	1110
530	1254	1107
531	1256	1105
532	1258	1102
533	1260	1100
534	1263	1098
535	1265	1095
536	1267	1092
537	1270	1090
538	1272	1088
539	1274	1085
540	1277	1083
541	1279	1081
542	1281	1078
543	1283	1076
544	1285	1073
545	1288	1071
546	1290	1068
547	1292	1066
548	1294	1063
549	1297	1061
550	1299	1058
551	1301	1056
552	1303	1053
553	1305	1051
554	1308	1048
555	1310	1046
556	1312	1043
557	1315	1041
558	1317	1039
559	1319	1036
560	1321	1034
561	1324	1032
562	1326	1029
563	1328	1026
564	1330	1024
565	1332	1021
566	1334	1019
567	1337	1016
568	1339	1014
569	1341	1012
570	1343	1009
571	1346	1007
572	1348	1004
573	1350	1002
574	1352	999
575	1354	997
576	1356	994
577	1359	992
578	1361	989
579	1363	987
580	1365	984
581	1368	982
582	1370	980
583	1372	977
584	1374	975
585	1376	972
586	1379	970
587	1381	967
588	1383	965
589	1385	963
590	1388	960
591	1390	958
592	1393	956
593	1395	953
594	1397	951
595	1399	948
596	1402	946
597	1404	944
598	1406	941
599	1408	939
600	1411	936
601	1413	934
602	1415	931
603	1417	929
604	1420	927
605	1422	925
606	1426	923
607	1431	922
608	1435	921
609	1439	920
610	1442	918
611	1444	916
612	1447	913
613	1449	911
614	1451	908
615	1454	906
616	1456	903
617	1458	901
618	1460	899
619	1463	896
620	1465	894
621	1467	891
622	1470	889
623	1472	887
624	1474	884
625	1476	882
626	1478	879
627	1481	877
628	1483	875
629	1485	872
630	1488	870
631	1490	867
632	1492	865
633	1494	862
634	1496	860
635	1499	858
636	1501	855
637	1503	853
638	1505	850
639	1507	848
640	1509	845
641	1512	843
642	1514	840
643	1516	838
644	1519	836
645	1521	833
646	1523	831
647	1525	828
648	1528	826
649	1530	824
650	1532	821
651	1535	819
652	1537	816
653	1539	814
654	1541	812
655	1544	809
656	1546	807
657	1548	804
658	1550	802
659	1552	799
660	1555	797
661	1557	795
662	1559	792
663	1561	790
664	1564	787
665	1566	785
666	1568	783
667	1571	780
668	1573	778
669	1575	775
670	1577	773
671	1579	770
672	1581	768
673	1584	766
674	1586	763
675	1588	761
676	1590	758
677	1592	756
678	1595	754
679	1597	751
680	1601	750
681	1604	748
682	1606	745
683	1609	743
684	1611	741
685	1613	738
686	1616	736
687	1618	733
688	1620	731
689	1622	728
690	1624	726
691	1626	724
692	1629	721
693	1631	719
694	1633	716
695	1635	714
696	1638	712
697	1640	709
698	1642	707
699	1644	704
700	1646	702
701	1648	699
702	1650	697
703	1652	695
704	1655	692
705	1657	690
706	1659	687
707	1661	685
708	1663	682
709	1666	680
710	1668	678
711	1670	675
712	1672	673
713	1675	670
714	1677	668
715	1679	666
716	1681	663
717	1683	661
718	1686	658
719	1688	656
720	1690	654
721	1692	651
722	1694	649
723	1696	646
724	1699	644
725	1701	642
726	1703	639
727	1705	637
728	1707	634
729	1710	632
730	1712	630
731	1714	627
732	1716	625
733	1719	623
734	1721	620
735	1723	618
736	1725	615
737	1727	613
738	1729	610
739	1732	608
740	1734	606
741	1736	603
742	1738	601
743	1740	598
744	1742	596
745	1744	594
746	1746	591
747	1749	589
748	1751	586
749	1753	584
750	1755	582
751	1757	579
752	1760	577
753	1762	574
754	1764	572
755	1766	570
756	1768	567
757	1771	565
758	1773	563
759	1775	560
760	1778	558
761	1780	556
762	1782	553
763	1785	551
764	1787	549
765	1789	546
766	1791	544
767	1793	541
768	1795	539
769	1798	537
770	1800	534
771	1802	532
772	1804	529
773	1806	527
774	1808	525
775	1810	522
776	1813	520
777	1815	518
778	1817	515
779	1820	513
780	1822	511
781	1824	508
782	1826	506
783	1828	503
784	1830	501
785	1833	499
786	1835	496
787	1837	494
788	1839	492
789	1841	489
790	1844	487
791	1846	484
792	1848	482
793	1850	480
794	1852	477
795	1854	475
796	1857	472
797	1859	470
798	1861	468
799	1863	465
800	1865	463
801	1868	461
802	1870	458
803	1872	456
804	1875	454
805	1878	452
806	1880	449
807	1885	448
808	1888	445
809	1894	444
810	1896	442
811	1899	439
812	1902	437
813	1904	435
814	1906	432
815	1909	430
816	1911	428
817	1913	425
818	1915	423
819	1917	420
820	1919	418
821	1922	416
822	1924	413
823	1926	411
824	1928	409
825	1930	406
826	1932	404
827	1935	401
828	1937	399
829	1939	397
830	1941	394
831	1943	392
832	1945	390
833	1948	387
834	1950	385
835	1952	383
836	1954	380
837	1956	378
838	1958	375
839	1961	373
840	1963	371
841	1965	368
842	1967	366
843	1969	364
844	1971	361
845	1973	359
846	1975	356
847	1977	354
848	1980	352
849	1982	349
850	1984	347
851	1987	345
852	1989	342
853	1991	340
854	1994	338
855	1996	335
856	1998	333
857	2001	331
858	2003	328
859	2005	326
860	2007	324
861	2009	321
862	2012	319
863	2014	317
864	2016	314
865	2018	312
866	2020	309
867	2022	307
868	2024	305
869	2027	302
870	2029	300
871	2031	298
872	2033	295
873	2036	293
874	2038	291
875	2040	288
876	2042	286
877	2045	284
878	2047	281
879	2049	279
880	2051	277
881	2053	274
882	2056	272
883	2058	270
884	2060	267
885	2062	265
886	2064	263
887	2067	260
888	2069	258
889	2071	256
890	2073	253
891	2076	251
892	2078	249
893	2080	246
894	2083	244
895	2085	242
896	2088	239
897	2091	237
898	2094	235
899	2097	233
900	2099	230
901	2102	228
902	2104	226
903	2106	223
904	2108	221
905	2111	219
906	2113	216
907	2115	214
908	2117	212
909	2120	209
910	2122	207
911	2124	205
912	2126	202
913	2129	200
914	2131	197
915	2133	195
916	2135	193
917	2137	190
918	2139	188
919	2142	186
920	2144	183
921	2146	181
922	2148	179
923	2150	176
924	2152	174
925	2154	172
926	2157	169
927	2159	167
928	2161	165
929	2163	162
930	2165	160
931	2168	158
932	2170	155
933	2172	153
934	2174	151
935	2176	148
936	2178	146
937	2181	144
938	2183	141
939	2185	139
940	2187	137
941	2189	134
942	2191	132
943	2193	130
944	2195	127
945	2198	125
946	2200	123
947	2202	120
948	2204	118
949	2206	116
950	2209	113
951	2211	111
952	2213	109
953	2215	106
954	2217	104
955	2219	102
956	2222	99
957	2224	97
958	2226	95
959	2228	92
960	2230	90
961	2233	88
962	2235	85
963	2244	83
964	2246	81
965	2248	79
966	2250	76
967	2253	74
968	2255	72
969	2257	69
970	2259	67
971	2262	65
972	2264	62
973	2266	60
974	2268	58
975	2270	55
976	2273	53
977	2275	51
978	2277	48
979	2279	46
980	2281	44
981	2283	41
982	2285	39
983	2288	37
984	2290	34
985	2292	32
986	2294	30
987	2296	27
988	2299	25
989	2301	23
990	2303	20
991	2305	18
992	2308	16
993	2310	13
994	2312	11
995	2314	9
996	2316	6
997	2318	4
998	2320	2
999	2323	0
