iter	RMSE
122	0.72164517
123	0.7212145645
124	0.7207298706
125	0.7203145065
126	0.7200140958
127	0.7196405982
128	0.7191953296
129	0.7188467113
130	0.7185495247
131	0.7180316068
132	0.717643269
133	0.7173556286
134	0.7169376043
135	0.7165709391
136	0.7161856465
137	0.7159627497
138	0.7156875888
139	0.7152889903
140	0.715035299
141	0.7146950586
142	0.7143884626
143	0.714027379
144	0.7136477952
145	0.7131707376
146	0.7127893685
147	0.7123771288
148	0.7120606908
149	0.7116409684
150	0.7112555263
151	0.7108774392
152	0.7104461481
153	0.7101297242
154	0.7098020889
155	0.7093136072
156	0.7090281853
157	0.7086280246
158	0.7083601573
159	0.7080259679
160	0.7076816108
161	0.7074254991
162	0.7070331446
163	0.7066574888
164	0.7063345893
165	0.7058728677
166	0.7055271402
167	0.7050994941
168	0.7047162302
169	0.7043170413
170	0.7039703562
171	0.7037523817
172	0.7033492505
173	0.7031355029
174	0.7027890639
175	0.7025445635
176	0.7022824005
177	0.7019830316
178	0.7016554705
179	0.7012628074
180	0.700944118
181	0.7005460335
182	0.7001012791
183	0.6996517412
184	0.6992256392
185	0.6988959032
186	0.6984759467
187	0.6981750938
188	0.6977329689
189	0.697366892
190	0.6968770133
191	0.6964514366
192	0.6959473373
193	0.6955318179
194	0.695247513
195	0.6948888473
196	0.694570157
197	0.6943812497
198	0.6939478929
199	0.6936124379
200	0.6933425371
201	0.6930744805
202	0.6927206919
203	0.6924035919
204	0.6918848466
205	0.6914262392
206	0.6910533167
207	0.6907474124
208	0.6902925764
209	0.6898746825
210	0.6894900773
211	0.6889904853
212	0.6887820688
213	0.6884664186
214	0.6879461488
215	0.6876304744
216	0.687179531
217	0.6868440851
218	0.6864362075
219	0.6860134471
220	0.6855129525
221	0.6851467504
222	0.6848923169
223	0.6845734947
224	0.6841795539
225	0.6836188804
226	0.6832988972
227	0.6828597528
228	0.6824599537
229	0.6821890081
230	0.6817993656
231	0.6815433928
232	0.6811209598
233	0.6807129124
234	0.6803614824
235	0.6800052876
236	0.6797309102
237	0.6793649945
238	0.6789863981
239	0.6786476566
240	0.6782483794
241	0.6777033048
242	0.6773320305
243	0.6768119162
244	0.6763785384
245	0.6760147073
246	0.6758475779
247	0.6755803657
248	0.6751992607
249	0.6749274329
250	0.6745561159
251	0.6741216148
252	0.6737653864
253	0.673379588
254	0.6728504952
255	0.6725383807
256	0.6722286326
257	0.6716833384
258	0.6714026059
259	0.6710497705
260	0.6707679943
261	0.6704413855
262	0.6701999003
263	0.6698236224
264	0.6694481895
265	0.6691006026
266	0.6687942254
267	0.668464068
268	0.6680290563
269	0.6676641692
270	0.6672943996
271	0.666866339
272	0.666554371
273	0.6662466485
274	0.6659069604
275	0.6654328187
276	0.6651176102
277	0.6647881368
278	0.6643108027
279	0.6639774544
280	0.6635427493
281	0.6631990816
282	0.6629374353
283	0.6626219376
284	0.662435404
285	0.6620936013
286	0.6617666485
287	0.6613159967
288	0.6610950635
289	0.6607161659
290	0.6603019041
291	0.6600266587
292	0.6598564188
293	0.659493132
294	0.6591472327
295	0.6585839648
296	0.6582629366
297	0.6579444187
298	0.657441499
299	0.6571990999
300	0.6567978533
301	0.6564129248
302	0.6560476318
303	0.6558189293
304	0.6554204114
305	0.6549024183
306	0.6546036473
307	0.6542638493
308	0.6538503932
309	0.6536351472
310	0.6532237608
311	0.6527865735
312	0.6525334717
313	0.6520750522
314	0.6517207828
315	0.6513716774
316	0.6510305736
317	0.6507846215
318	0.6503984945
319	0.6500212606
320	0.6495816198
321	0.6491082353
322	0.6486222857
323	0.6483070327
324	0.6477873973
325	0.647497232
326	0.6471751757
327	0.6468174796
328	0.6464558472
329	0.6461181591
330	0.6457845195
331	0.6454277415
332	0.6451390635
333	0.6448533256
334	0.6444039599
335	0.6441357307
336	0.6438057511
337	0.6435332369
338	0.643207442
339	0.6428647035
340	0.6423771058
341	0.6420069594
342	0.641671796
343	0.6413385985
344	0.6411178469
345	0.6407232479
346	0.6403457409
347	0.6399210834
348	0.6395979673
349	0.6391782771
350	0.6387025344
351	0.6384223488
352	0.6381773622
353	0.6378773132
354	0.6374484541
355	0.6372163485
356	0.637000954
357	0.6367206453
358	0.6364221948
359	0.636105056
360	0.6358253571
361	0.6353446444
362	0.6349690167
363	0.6344834841
364	0.634171977
365	0.633764514
366	0.6334738568
367	0.6331762992
368	0.6326757178
369	0.6324285522
370	0.6320136086
371	0.6315926372
372	0.6312058399
373	0.6308372663
374	0.6305029978
375	0.6301327098
376	0.6297931568
377	0.6294571502
378	0.6289176092
379	0.6287569812
380	0.6285625528
381	0.6282909662
382	0.6278212147
383	0.6274804198
384	0.62714057
385	0.6268379155
386	0.6264462332
387	0.6260798606
388	0.6258109787
389	0.6255200281
390	0.6252564995
391	0.6250438687
392	0.6248693033
393	0.6243846919
394	0.6240621374
395	0.6237835933
396	0.6234555676
397	0.6231782944
398	0.6227822169
399	0.6223170667
400	0.6219637152
401	0.6216710789
402	0.6213640191
403	0.621139995
404	0.6207020175
405	0.6203959319
406	0.620093979
407	0.6198547383
408	0.6194738129
409	0.6192023378
410	0.6189048637
411	0.6187759009
412	0.6185977206
413	0.6181117846
414	0.6178068434
415	0.6175503302
416	0.6172835831
417	0.6169586951
418	0.6166910312
419	0.6164197934
420	0.6160198952
421	0.6157184672
422	0.6153057487
423	0.6148915921
424	0.614420184
425	0.614009541
426	0.6136467874
427	0.6135289552
428	0.6132649811
429	0.6129358643
430	0.6127722501
431	0.6126104352
432	0.6121850721
433	0.6119110449
434	0.6117063256
435	0.6113514822
436	0.6109882514
437	0.6106829309
438	0.6104062354
439	0.6100422634
440	0.609839956
441	0.6096831103
442	0.6095261301
443	0.6091687116
444	0.6089953335
445	0.6088584962
446	0.6085506107
447	0.6083563902
448	0.6081692377
449	0.6078520905
450	0.6075574867
451	0.6071628717
452	0.6071446084
453	0.6068957878
454	0.6064856077
455	0.6061372926
456	0.6060057568
457	0.6057044548
458	0.605453273
459	0.6052048122
460	0.6048823428
461	0.6047720761
462	0.6043392375
463	0.604041313
464	0.6036147672
465	0.6032054241
466	0.6028490338
467	0.6027086353
468	0.6024382102
469	0.6022450338
470	0.6019615497
471	0.6017472415
472	0.6016908223
473	0.6013729305
474	0.6010134682
475	0.6008313301
476	0.6005265697
477	0.6001039709
478	0.5998437443
479	0.5995275942
480	0.5992712122
481	0.5989695158
482	0.5986094026
483	0.5983055424
484	0.598021308
485	0.5977809711
486	0.5975332419
487	0.5971875024
488	0.597026115
489	0.596736881
490	0.596370979
491	0.5960244452
492	0.5956318676
493	0.5952787765
494	0.5948962931
495	0.5945608387
496	0.5941951144
497	0.5938385621
498	0.5936259379
499	0.5934081048
500	0.5931111009
501	0.5927802166
502	0.5925059735
503	0.5922912445
504	0.5919034919
505	0.5915842248
506	0.5913052761
507	0.59105116
508	0.5907216886
509	0.5903663692
510	0.5899129775
511	0.5894316555
512	0.5891216426
513	0.5889455105
514	0.5885535243
515	0.5883320821
516	0.5880223842
517	0.5877081811
518	0.5875251648
519	0.5872401265
520	0.5869008941
521	0.5865863293
522	0.5863649782
523	0.5860567523
524	0.5857188884
525	0.5856144455
526	0.5852763546
527	0.585063488
528	0.5847167266
529	0.584391158
530	0.5842220673
531	0.5839377069
532	0.5836314159
533	0.5832829076
534	0.5828980358
535	0.5826219715
536	0.5822179764
537	0.5819172115
538	0.5815996496
539	0.5812194537
540	0.5810068777
541	0.5808154285
542	0.58057512
543	0.5802731032
544	0.5801770127
545	0.5797691892
546	0.5794893342
547	0.579345354
548	0.5792462533
549	0.5788448499
550	0.5785717608
551	0.5785427752
552	0.5782133811
553	0.5778915617
554	0.577671956
555	0.5773292859
556	0.5770840424
557	0.5769009169
558	0.5766331282
559	0.5761946428
560	0.5761662841
561	0.5758622934
562	0.5755359704
563	0.5752880658
564	0.5748730738
565	0.5748362104
566	0.5745565216
567	0.5743726393
568	0.5740251725
569	0.5736118831
570	0.5733825429
571	0.5731032262
572	0.5730175253
573	0.572740201
574	0.5725009117
575	0.5721957625
576	0.5719188713
577	0.5715675895
578	0.5713161984
579	0.5709449462
580	0.5707078579
581	0.5705074732
582	0.5704475292
583	0.5701239278
584	0.5697150961
585	0.569496432
586	0.569233707
587	0.5690050084
588	0.568729916
589	0.5684385944
590	0.5682131389
591	0.5679746581
592	0.5677247655
593	0.5675340582
594	0.5672872924
595	0.5670865336
596	0.5669086051
597	0.5666964233
598	0.5664479165
599	0.5660436944
600	0.5659423674
601	0.5658118127
602	0.5656060821
603	0.5655554937
604	0.5652696818
605	0.5648526291
606	0.5647099785
607	0.5643393102
608	0.564037438
609	0.5637755352
610	0.5636606186
611	0.5632920342
612	0.5630469793
613	0.5628113413
614	0.5625671946
615	0.5624990813
616	0.5622306454
617	0.5620653367
618	0.5617333026
619	0.5614610447
620	0.561347384
621	0.5611681773
622	0.5610134119
623	0.5609306197
624	0.5605363757
625	0.5602585729
626	0.5599986464
627	0.5595728461
628	0.5592626854
629	0.5589428235
630	0.5587527884
631	0.5584691892
632	0.5580808763
633	0.5577570241
634	0.5575432081
635	0.5573028803
636	0.5571490821
637	0.556937222
638	0.5566681754
639	0.5562230332
640	0.5561905833
641	0.5558502967
642	0.5554989825
643	0.5551804147
644	0.5548100078
645	0.5545436689
646	0.554317244
647	0.5539696117
648	0.5535894606
649	0.5533663552
650	0.5531744251
651	0.5529463358
652	0.5527174976
653	0.5523728223
654	0.5520812332
655	0.5517062971
656	0.5515026442
657	0.5513972911
658	0.5511168948
659	0.5508013334
660	0.5505408323
661	0.550291919
662	0.5500306683
663	0.5496467896
664	0.5493141886
665	0.549019849
666	0.5486810545
667	0.5483304474
668	0.5481044964
669	0.5477921363
670	0.5475185906
671	0.5473205021
672	0.5470937179
673	0.5468342711
674	0.5466833987
675	0.5464608676
676	0.5462510787
677	0.5459475743
678	0.5456463587
679	0.5454812803
680	0.5451422034
681	0.5448675988
682	0.544832335
683	0.5446387614
684	0.5444338927
685	0.5441386723
686	0.543754023
687	0.5435429027
688	0.5432960718
689	0.5430553298
690	0.5429790048
691	0.5428422758
692	0.5426019382
693	0.5423397031
694	0.5421766518
695	0.5419366226
696	0.5416960125
697	0.5413681967
698	0.5411450481
699	0.5409022641
700	0.5405674314
701	0.5403174613
702	0.5402313769
703	0.540013381
704	0.5398008244
705	0.5394991188
706	0.5392241151
707	0.5390896789
708	0.5387905858
709	0.5385362483
710	0.5381890302
711	0.5378012591
712	0.5374066521
713	0.5372270513
714	0.5369437063
715	0.5365199985
716	0.5362974782
717	0.536031761
718	0.5358677734
719	0.5355567913
720	0.53541105
721	0.5351718255
722	0.5350241962
723	0.5348118973
724	0.5346479951
725	0.534383166
726	0.5341213482
727	0.533868021
728	0.5336424906
729	0.5333903596
730	0.5330737169
731	0.5328225248
732	0.5325666926
733	0.5323661265
734	0.5320121792
735	0.531754386
736	0.5315303287
737	0.5312747819
738	0.531030111
739	0.5307548283
740	0.5305038683
741	0.5303618397
742	0.5301195433
743	0.5299550997
744	0.5297342807
745	0.5294730754
746	0.5292475445
747	0.5290664247
748	0.5287988023
749	0.5287533522
750	0.5285257678
751	0.5283299258
752	0.5282438567
753	0.5280034377
754	0.527809011
755	0.527731605
756	0.5275099492
757	0.5272835083
758	0.5270739539
759	0.5268536966
760	0.5265420601
761	0.526263972
762	0.5260570348
763	0.5258322258
764	0.5255515865
765	0.5252815939
766	0.5251429244
767	0.5250727877
768	0.5250148587
769	0.524935366
770	0.5247375734
771	0.5245239125
772	0.5243001209
773	0.5240899841
774	0.5238048651
775	0.5236424599
776	0.5234106872
777	0.5231832484
778	0.5229365466
779	0.5227435042
780	0.522510564
781	0.5222551902
782	0.5221297572
783	0.5218785351
784	0.521589817
785	0.5214726293
786	0.5213165761
787	0.5210352659
788	0.5209150327
789	0.520812406
790	0.5206519899
791	0.5205363589
792	0.5204212176
793	0.5201046657
794	0.5198487038
795	0.5195805108
796	0.5192052202
797	0.519018883
798	0.5187471253
799	0.5185922073
800	0.5183139104
801	0.5181044902
802	0.5179015279
803	0.5176883878
804	0.517466082
805	0.5172678369
806	0.5169934361
807	0.5167308035
808	0.5164092365
809	0.5161743358
810	0.515920731
811	0.5157366398
812	0.5154744353
813	0.5152272043
814	0.5151657665
815	0.5150496157
816	0.5148467609
817	0.5147051709
818	0.5146088253
819	0.5145100793
820	0.5143499624
821	0.5142031751
822	0.5139345896
823	0.5138448753
824	0.5136140744
825	0.513392558
826	0.513129517
827	0.5128255105
828	0.5126585404
829	0.5124033013
830	0.5121230655
831	0.51174078
832	0.5114459516
833	0.5111198467
834	0.5110734152
835	0.510972591
836	0.5106915784
837	0.5105293254
838	0.5104402591
839	0.5101825295
840	0.5098866589
841	0.5096666392
842	0.5095106217
843	0.5093145516
844	0.5090471057
845	0.50870653
846	0.508567009
847	0.5084506644
848	0.5082559617
849	0.5080343657
850	0.5077375346
851	0.507522088
852	0.5073203038
853	0.5070624116
854	0.5068154448
855	0.5066467312
856	0.5063427119
857	0.5060572883
858	0.5058351606
859	0.505734643
860	0.5055869269
861	0.5054751425
862	0.5052141269
863	0.5050716095
864	0.5048164853
865	0.5046905943
866	0.5044221419
867	0.5042274573
868	0.5040606038
869	0.5039108129
870	0.5036965319
871	0.5034919198
872	0.5033102977
873	0.5030046215
874	0.5028852334
875	0.5026431088
876	0.5023985082
877	0.5021536701
878	0.5019957076
879	0.501945939
880	0.5017943833
881	0.5016407815
882	0.5013084282
883	0.5010224277
884	0.5007027083
885	0.5004611747
886	0.5001237801
887	0.4998643766
888	0.4996415622
889	0.4995173541
890	0.4992987122
891	0.4991167429
892	0.4988966463
893	0.4988509933
894	0.4986443682
895	0.4983911546
896	0.4981709482
897	0.4979910238
898	0.4977978655
899	0.4974848786
900	0.4972850586
901	0.4969187244
902	0.496645552
903	0.4966318662
904	0.4964442807
905	0.4962727714
906	0.4960164689
907	0.4957892005
908	0.4955331056
909	0.4952731811
910	0.4951712163
911	0.4950087258
912	0.4948776789
913	0.4946840959
914	0.4944679209
915	0.4943634314
916	0.4941464181
917	0.4937980897
918	0.4935538064
919	0.4933444264
920	0.4931758146
921	0.4931053437
922	0.4927841841
923	0.492652685
924	0.4924181707
925	0.4921926974
926	0.4918406658
927	0.4915110941
928	0.4912457756
929	0.491183082
930	0.4909848978
931	0.4907309153
932	0.4904873803
933	0.4902997013
934	0.4900041868
935	0.4899890481
936	0.4898700362
937	0.4896072117
938	0.48929112
939	0.4890413897
940	0.4889664345
941	0.4887003789
942	0.4884544263
943	0.4884068784
944	0.4882059875
945	0.4878901495
946	0.4877003441
947	0.4876652674
948	0.4876447951
949	0.4873042953
950	0.4872749555
951	0.4870754546
952	0.4868461272
953	0.4865552447
954	0.4863289292
955	0.4861310025
956	0.4858935183
957	0.4857785014
958	0.4855946378
959	0.4852673287
960	0.4850498038
961	0.4847186305
962	0.4844832239
963	0.4842070609
964	0.4839007409
965	0.4835861481
966	0.4832713731
967	0.482989881
968	0.4827581371
969	0.4824397987
970	0.4821803868
971	0.4819124865
972	0.4816530866
973	0.4814137191
974	0.4812497167
975	0.480969213
976	0.4807138692
977	0.4805329683
978	0.4802162887
979	0.4800963812
980	0.4798545742
981	0.4796393953
982	0.4794743672
983	0.479183904
984	0.4789657534
985	0.478684496
986	0.4784552916
987	0.4783607424
988	0.4781874944
989	0.478062387
990	0.4778785204
991	0.477752459
992	0.4775216951
993	0.4773733592
994	0.4771029739
995	0.4768536679
996	0.4766242649
997	0.4765590127
998	0.4762906055
999	0.4760107407
